user_id,tweet_id,note_type,helpfulness_raw,helpfulness_score
197,2,Community,helpful,1.0
197,2,LLMnote,somewhat helpful,0.5
197,3,Community,helpful,1.0
197,3,LLMnote,helpful,1.0
197,12,Community,not helpful,0.0
197,12,LLMnote,helpful,1.0
197,16,Community,not helpful,0.0
197,16,LLMnote,somewhat helpful,0.5
197,21,Community,somewhat helpful,0.5
197,21,LLMnote,somewhat helpful,0.5
197,23,Community,not helpful,0.0
197,23,LLMnote,somewhat helpful,0.5
197,24,Community,somewhat helpful,0.5
197,24,LLMnote,somewhat helpful,0.5
197,29,Community,helpful,1.0
197,29,LLMnote,somewhat helpful,0.5
197,30,Community,somewhat helpful,0.5
197,30,LLMnote,somewhat helpful,0.5
197,32,Community,somewhat helpful,0.5
197,32,LLMnote,not helpful,0.0
197,34,Community,not helpful,0.0
197,34,LLMnote,not helpful,0.0
197,59,Community,not helpful,0.0
197,59,LLMnote,somewhat helpful,0.5
197,74,Community,somewhat helpful,0.5
197,74,LLMnote,somewhat helpful,0.5
197,76,Community,not helpful,0.0
197,76,LLMnote,somewhat helpful,0.5
197,79,Community,somewhat helpful,0.5
197,79,LLMnote,somewhat helpful,0.5
197,85,Community,helpful,1.0
197,85,LLMnote,somewhat helpful,0.5
197,101,Community,not helpful,0.0
197,101,LLMnote,not helpful,0.0
197,111,Community,somewhat helpful,0.5
197,111,LLMnote,somewhat helpful,0.5
197,122,Community,helpful,1.0
197,122,LLMnote,helpful,1.0
197,124,Community,somewhat helpful,0.5
197,124,LLMnote,somewhat helpful,0.5
123,7,Community,somewhat helpful,0.5
123,7,LLMnote,somewhat helpful,0.5
123,12,Community,somewhat helpful,0.5
123,12,LLMnote,somewhat helpful,0.5
123,28,Community,somewhat helpful,0.5
123,28,LLMnote,helpful,1.0
123,29,Community,helpful,1.0
123,29,LLMnote,somewhat helpful,0.5
123,35,Community,somewhat helpful,0.5
123,35,LLMnote,somewhat helpful,0.5
123,36,Community,helpful,1.0
123,36,LLMnote,somewhat helpful,0.5
123,52,Community,helpful,1.0
123,52,LLMnote,somewhat helpful,0.5
123,65,Community,somewhat helpful,0.5
123,65,LLMnote,somewhat helpful,0.5
123,68,Community,not helpful,0.0
123,68,LLMnote,somewhat helpful,0.5
123,69,Community,somewhat helpful,0.5
123,69,LLMnote,somewhat helpful,0.5
123,77,Community,helpful,1.0
123,77,LLMnote,somewhat helpful,0.5
123,81,Community,not helpful,0.0
123,81,LLMnote,somewhat helpful,0.5
123,86,Community,somewhat helpful,0.5
123,86,LLMnote,somewhat helpful,0.5
123,92,Community,somewhat helpful,0.5
123,92,LLMnote,somewhat helpful,0.5
123,98,Community,somewhat helpful,0.5
123,98,LLMnote,somewhat helpful,0.5
123,109,Community,somewhat helpful,0.5
123,109,LLMnote,somewhat helpful,0.5
123,110,Community,somewhat helpful,0.5
123,110,LLMnote,somewhat helpful,0.5
123,111,Community,helpful,1.0
123,111,LLMnote,somewhat helpful,0.5
123,122,Community,helpful,1.0
123,122,LLMnote,somewhat helpful,0.5
123,142,Community,helpful,1.0
123,142,LLMnote,somewhat helpful,0.5
160,3,Community,somewhat helpful,0.5
160,3,LLMnote,helpful,1.0
160,7,Community,helpful,1.0
160,7,LLMnote,somewhat helpful,0.5
160,21,Community,somewhat helpful,0.5
160,21,LLMnote,helpful,1.0
160,23,Community,somewhat helpful,0.5
160,23,LLMnote,helpful,1.0
160,24,Community,somewhat helpful,0.5
160,24,LLMnote,helpful,1.0
160,32,Community,somewhat helpful,0.5
160,32,LLMnote,helpful,1.0
160,35,Community,somewhat helpful,0.5
160,35,LLMnote,helpful,1.0
160,46,Community,somewhat helpful,0.5
160,46,LLMnote,helpful,1.0
160,49,Community,somewhat helpful,0.5
160,49,LLMnote,helpful,1.0
160,59,Community,somewhat helpful,0.5
160,59,LLMnote,helpful,1.0
160,60,Community,somewhat helpful,0.5
160,60,LLMnote,helpful,1.0
160,69,Community,somewhat helpful,0.5
160,69,LLMnote,helpful,1.0
160,70,Community,somewhat helpful,0.5
160,70,LLMnote,helpful,1.0
160,82,Community,somewhat helpful,0.5
160,82,LLMnote,helpful,1.0
160,93,Community,somewhat helpful,0.5
160,93,LLMnote,helpful,1.0
160,94,Community,somewhat helpful,0.5
160,94,LLMnote,helpful,1.0
160,99,Community,somewhat helpful,0.5
160,99,LLMnote,helpful,1.0
160,110,Community,somewhat helpful,0.5
160,110,LLMnote,helpful,1.0
160,111,Community,somewhat helpful,0.5
160,111,LLMnote,helpful,1.0
160,142,Community,somewhat helpful,0.5
160,142,LLMnote,helpful,1.0
194,3,Community,somewhat helpful,0.5
194,3,LLMnote,helpful,1.0
194,12,Community,somewhat helpful,0.5
194,12,LLMnote,helpful,1.0
194,19,Community,somewhat helpful,0.5
194,19,LLMnote,helpful,1.0
194,23,Community,somewhat helpful,0.5
194,23,LLMnote,helpful,1.0
194,29,Community,helpful,1.0
194,29,LLMnote,somewhat helpful,0.5
194,30,Community,somewhat helpful,0.5
194,30,LLMnote,helpful,1.0
194,31,Community,somewhat helpful,0.5
194,31,LLMnote,helpful,1.0
194,36,Community,helpful,1.0
194,36,LLMnote,somewhat helpful,0.5
194,52,Community,somewhat helpful,0.5
194,52,LLMnote,helpful,1.0
194,59,Community,somewhat helpful,0.5
194,59,LLMnote,helpful,1.0
194,62,Community,somewhat helpful,0.5
194,62,LLMnote,helpful,1.0
194,68,Community,somewhat helpful,0.5
194,68,LLMnote,somewhat helpful,0.5
194,72,Community,somewhat helpful,0.5
194,72,LLMnote,helpful,1.0
194,81,Community,somewhat helpful,0.5
194,81,LLMnote,helpful,1.0
194,83,Community,somewhat helpful,0.5
194,83,LLMnote,helpful,1.0
194,85,Community,somewhat helpful,0.5
194,85,LLMnote,helpful,1.0
194,92,Community,somewhat helpful,0.5
194,92,LLMnote,helpful,1.0
194,106,Community,somewhat helpful,0.5
194,106,LLMnote,helpful,1.0
194,107,Community,somewhat helpful,0.5
194,107,LLMnote,somewhat helpful,0.5
194,123,Community,helpful,1.0
194,123,LLMnote,somewhat helpful,0.5
王奥琪,1,Community,somewhat helpful,0.5
王奥琪,1,LLMnote,somewhat helpful,0.5
王奥琪,2,Community,helpful,1.0
王奥琪,2,LLMnote,somewhat helpful,0.5
王奥琪,3,Community,somewhat helpful,0.5
