user_id,tweet_id,note_type,helpfulness_raw,helpfulness_score
方雪,2,Community,somewhat helpful,0.5
方雪,2,LLMnote,somewhat helpful,0.5
方雪,7,Community,helpful,1.0
方雪,7,LLMnote,somewhat helpful,0.5
方雪,16,Community,somewhat helpful,0.5
方雪,16,LLMnote,helpful,1.0
方雪,23,Community,somewhat helpful,0.5
方雪,23,LLMnote,helpful,1.0
方雪,24,Community,helpful,1.0
方雪,24,LLMnote,somewhat helpful,0.5
方雪,28,Community,somewhat helpful,0.5
方雪,28,LLMnote,helpful,1.0
方雪,30,Community,helpful,1.0
方雪,30,LLMnote,not helpful,0.0
方雪,31,Community,helpful,1.0
方雪,31,LLMnote,somewhat helpful,0.5
方雪,50,Community,somewhat helpful,0.5
方雪,50,LLMnote,helpful,1.0
方雪,59,Community,not helpful,0.0
方雪,59,LLMnote,helpful,1.0
方雪,65,Community,helpful,1.0
方雪,65,LLMnote,somewhat helpful,0.5
方雪,69,Community,helpful,1.0
方雪,69,LLMnote,somewhat helpful,0.5
方雪,75,Community,somewhat helpful,0.5
方雪,75,LLMnote,helpful,1.0
方雪,81,Community,not helpful,0.0
方雪,81,LLMnote,helpful,1.0
方雪,82,Community,helpful,1.0
方雪,82,LLMnote,helpful,1.0
方雪,94,Community,not helpful,0.0
方雪,94,LLMnote,helpful,1.0
方雪,101,Community,helpful,1.0
方雪,101,LLMnote,not helpful,0.0
方雪,102,Community,helpful,1.0
方雪,102,LLMnote,somewhat helpful,0.5
方雪,111,Community,helpful,1.0
方雪,111,LLMnote,not helpful,0.0
方雪,122,Community,somewhat helpful,0.5
方雪,122,LLMnote,helpful,1.0
李路阳,31,Community,helpful,1.0
李路阳,31,LLMnote,helpful,1.0
李路阳,46,Community,helpful,1.0
李路阳,46,LLMnote,helpful,1.0
李路阳,57,Community,helpful,1.0
李路阳,57,LLMnote,helpful,1.0
李路阳,59,Community,helpful,1.0
李路阳,59,LLMnote,somewhat helpful,0.5
李路阳,72,Community,helpful,1.0
李路阳,72,LLMnote,helpful,1.0
李路阳,75,Community,helpful,1.0
李路阳,75,LLMnote,helpful,1.0
李路阳,77,Community,helpful,1.0
李路阳,77,LLMnote,helpful,1.0
李路阳,81,Community,somewhat helpful,0.5
李路阳,81,LLMnote,helpful,1.0
李路阳,83,Community,helpful,1.0
李路阳,83,LLMnote,helpful,1.0
李路阳,85,Community,helpful,1.0
李路阳,85,LLMnote,helpful,1.0
李路阳,86,Community,helpful,1.0
李路阳,86,LLMnote,helpful,1.0
李路阳,91,Community,helpful,1.0
李路阳,91,LLMnote,helpful,1.0
李路阳,98,Community,helpful,1.0
李路阳,98,LLMnote,helpful,1.0
李路阳,102,Community,helpful,1.0
李路阳,102,LLMnote,helpful,1.0
李路阳,106,Community,helpful,1.0
李路阳,106,LLMnote,helpful,1.0
李路阳,107,Community,helpful,1.0
李路阳,107,LLMnote,helpful,1.0
李路阳,110,Community,helpful,1.0
