user_id,tweet_id,note_type,helpfulness_raw,helpfulness_score
225,1,Community,helpful,1.0
225,1,LLMnote,somewhat helpful,0.5
225,2,Community,helpful,1.0
225,2,LLMnote,not helpful,0.0
225,7,Community,helpful,1.0
225,7,LLMnote,helpful,1.0
225,12,Community,helpful,1.0
225,12,LLMnote,helpful,1.0
225,16,Community,helpful,1.0
225,16,LLMnote,helpful,1.0
225,23,Community,helpful,1.0
225,23,LLMnote,helpful,1.0
225,24,Community,helpful,1.0
225,24,LLMnote,helpful,1.0
225,28,Community,somewhat helpful,0.5
225,28,LLMnote,helpful,1.0
225,31,Community,helpful,1.0
225,31,LLMnote,helpful,1.0
225,46,Community,helpful,1.0
225,46,LLMnote,helpful,1.0
225,49,Community,helpful,1.0
225,49,LLMnote,helpful,1.0
225,50,Community,somewhat helpful,0.5
225,50,LLMnote,helpful,1.0
225,62,Community,helpful,1.0
225,62,LLMnote,helpful,1.0
225,72,Community,somewhat helpful,0.5
225,72,LLMnote,helpful,1.0
225,76,Community,helpful,1.0
225,76,LLMnote,helpful,1.0
225,91,Community,helpful,1.0
225,91,LLMnote,helpful,1.0
225,99,Community,helpful,1.0
225,99,LLMnote,helpful,1.0
225,110,Community,helpful,1.0
225,110,LLMnote,somewhat helpful,0.5
225,123,Community,helpful,1.0
225,123,LLMnote,helpful,1.0
225,142,Community,somewhat helpful,0.5
225,142,LLMnote,helpful,1.0
235,16,Community,not helpful,0.0
235,16,LLMnote,somewhat helpful,0.5
235,21,Community,not helpful,0.0
235,21,LLMnote,somewhat helpful,0.5
235,29,Community,somewhat helpful,0.5
235,29,LLMnote,helpful,1.0
235,30,Community,somewhat helpful,0.5
235,30,LLMnote,helpful,1.0
235,34,Community,not helpful,0.0
235,34,LLMnote,helpful,1.0
235,36,Community,not helpful,0.0
235,36,LLMnote,not helpful,0.0
235,46,Community,helpful,1.0
235,46,LLMnote,somewhat helpful,0.5
235,50,Community,somewhat helpful,0.5
235,50,LLMnote,helpful,1.0
235,74,Community,helpful,1.0
235,74,LLMnote,helpful,1.0
235,76,Community,not helpful,0.0
235,76,LLMnote,helpful,1.0
235,77,Community,somewhat helpful,0.5
235,77,LLMnote,helpful,1.0
235,79,Community,not helpful,0.0
235,79,LLMnote,helpful,1.0
235,82,Community,somewhat helpful,0.5
235,82,LLMnote,somewhat helpful,0.5
235,83,Community,somewhat helpful,0.5
235,83,LLMnote,helpful,1.0
235,91,Community,somewhat helpful,0.5
235,91,LLMnote,somewhat helpful,0.5
235,93,Community,not helpful,0.0
235,93,LLMnote,helpful,1.0
235,98,Community,helpful,1.0
235,98,LLMnote,somewhat helpful,0.5
235,106,Community,not helpful,0.0
235,106,LLMnote,not helpful,0.0
235,123,Community,somewhat helpful,0.5
235,123,LLMnote,helpful,1.0
235,142,Community,somewhat helpful,0.5
235,142,LLMnote,helpful,1.0
238,1,Community,helpful,1.0
238,1,LLMnote,not helpful,0.0
238,2,Community,helpful,1.0
238,2,LLMnote,not helpful,0.0
238,16,Community,helpful,1.0
238,16,LLMnote,not helpful,0.0
238,23,Community,somewhat helpful,0.5
238,23,LLMnote,somewhat helpful,0.5
238,28,Community,not helpful,0.0
238,28,LLMnote,somewhat helpful,0.5
238,35,Community,helpful,1.0
238,35,LLMnote,somewhat helpful,0.5
238,36,Community,helpful,1.0
238,36,LLMnote,somewhat helpful,0.5
238,46,Community,not helpful,0.0
238,46,LLMnote,somewhat helpful,0.5
238,60,Community,helpful,1.0
238,60,LLMnote,somewhat helpful,0.5
238,70,Community,helpful,1.0
238,70,LLMnote,somewhat helpful,0.5
238,72,Community,somewhat helpful,0.5
238,72,LLMnote,helpful,1.0
238,74,Community,somewhat helpful,0.5
238,74,LLMnote,not helpful,0.0
238,77,Community,not helpful,0.0
238,77,LLMnote,somewhat helpful,0.5
238,79,Community,helpful,1.0
238,79,LLMnote,somewhat helpful,0.5
238,91,Community,helpful,1.0
238,91,LLMnote,somewhat helpful,0.5
238,92,Community,helpful,1.0
238,92,LLMnote,somewhat helpful,0.5
238,101,Community,helpful,1.0
238,101,LLMnote,somewhat helpful,0.5
238,122,Community,somewhat helpful,0.5
238,122,LLMnote,helpful,1.0
238,123,Community,somewhat helpful,0.5
238,123,LLMnote,somewhat helpful,0.5
238,124,Community,helpful,1.0
238,124,LLMnote,not helpful,0.0
212,1,Community,somewhat helpful,0.5
212,1,LLMnote,somewhat helpful,0.5
212,2,Community,somewhat helpful,0.5
212,2,LLMnote,somewhat helpful,0.5
212,12,Community,somewhat helpful,0.5
212,12,LLMnote,somewhat helpful,0.5
212,16,Community,helpful,1.0
212,16,LLMnote,helpful,1.0
212,19,Community,somewhat helpful,0.5
212,19,LLMnote,helpful,1.0
212,21,Community,not helpful,0.0
212,21,LLMnote,somewhat helpful,0.5
212,24,Community,somewhat helpful,0.5
212,24,LLMnote,somewhat helpful,0.5
212,29,Community,somewhat helpful,0.5
212,29,LLMnote,helpful,1.0
212,30,Community,somewhat helpful,0.5
212,30,LLMnote,somewhat helpful,0.5
212,36,Community,helpful,1.0
212,36,LLMnote,somewhat helpful,0.5
212,52,Community,somewhat helpful,0.5
212,52,LLMnote,somewhat helpful,0.5
212,59,Community,somewhat helpful,0.5
212,59,LLMnote,somewhat helpful,0.5
212,68,Community,somewhat helpful,0.5
212,68,LLMnote,helpful,1.0
212,75,Community,somewhat helpful,0.5
212,75,LLMnote,not helpful,0.0
212,76,Community,somewhat helpful,0.5
212,76,LLMnote,somewhat helpful,0.5
212,77,Community,somewhat helpful,0.5
212,77,LLMnote,somewhat helpful,0.5
212,79,Community,helpful,1.0
212,79,LLMnote,somewhat helpful,0.5
212,93,Community,helpful,1.0
212,93,LLMnote,somewhat helpful,0.5
212,102,Community,somewhat helpful,0.5
212,102,LLMnote,somewhat helpful,0.5
212,110,Community,somewhat helpful,0.5
212,110,LLMnote,somewhat helpful,0.5
尚燕军,1,Community,somewhat helpful,0.5
尚燕军,1,LLMnote,helpful,1.0
尚燕军,2,Community,helpful,1.0
尚燕军,2,LLMnote,helpful,1.0
尚燕军,3,Community,helpful,1.0
尚燕军,3,LLMnote,helpful,1.0
尚燕军,7,Community,somewhat helpful,0.5
尚燕军,7,LLMnote,helpful,1.0
尚燕军,19,Community,helpful,1.0
尚燕军,19,LLMnote,helpful,1.0
尚燕军,24,Community,not helpful,0.0
尚燕军,24,LLMnote,helpful,1.0
尚燕军,32,Community,helpful,1.0
尚燕军,32,LLMnote,somewhat helpful,0.5
尚燕军,49,Community,helpful,1.0
尚燕军,49,LLMnote,somewhat helpful,0.5
尚燕军,50,Community,helpful,1.0
尚燕军,50,LLMnote,somewhat helpful,0.5
尚燕军,59,Community,somewhat helpful,0.5
尚燕军,59,LLMnote,helpful,1.0
尚燕军,62,Community,helpful,1.0
尚燕军,62,LLMnote,helpful,1.0
尚燕军,69,Community,somewhat helpful,0.5
尚燕军,69,LLMnote,helpful,1.0
尚燕军,72,Community,somewhat helpful,0.5
尚燕军,72,LLMnote,helpful,1.0
尚燕军,79,Community,helpful,1.0
尚燕军,79,LLMnote,not helpful,0.0
尚燕军,91,Community,somewhat helpful,0.5
尚燕军,91,LLMnote,helpful,1.0
尚燕军,98,Community,somewhat helpful,0.5
尚燕军,98,LLMnote,helpful,1.0
尚燕军,99,Community,helpful,1.0
尚燕军,99,LLMnote,helpful,1.0
尚燕军,109,Community,helpful,1.0
尚燕军,109,LLMnote,helpful,1.0
尚燕军,110,Community,helpful,1.0
尚燕军,110,LLMnote,helpful,1.0
尚燕军,123,Community,helpful,1.0
