user_id,tweet_id,note_type,helpfulness_raw,helpfulness_score
489,7,Community,somewhat helpful,0.5
489,7,LLMnote,helpful,1.0
489,12,Community,not helpful,0.0
489,12,LLMnote,somewhat helpful,0.5
489,16,Community,somewhat helpful,0.5
489,16,LLMnote,helpful,1.0
489,19,Community,somewhat helpful,0.5
489,19,LLMnote,not helpful,0.0
489,23,Community,somewhat helpful,0.5
489,23,LLMnote,helpful,1.0
489,28,Community,somewhat helpful,0.5
489,28,LLMnote,helpful,1.0
489,29,Community,helpful,1.0
489,29,LLMnote,helpful,1.0
489,30,Community,somewhat helpful,0.5
489,30,LLMnote,somewhat helpful,0.5
489,32,Community,helpful,1.0
489,32,LLMnote,helpful,1.0
489,34,Community,not helpful,0.0
489,34,LLMnote,somewhat helpful,0.5
489,50,Community,somewhat helpful,0.5
489,50,LLMnote,somewhat helpful,0.5
489,52,Community,somewhat helpful,0.5
489,52,LLMnote,somewhat helpful,0.5
489,59,Community,somewhat helpful,0.5
489,59,LLMnote,somewhat helpful,0.5
489,82,Community,somewhat helpful,0.5
489,82,LLMnote,helpful,1.0
489,86,Community,somewhat helpful,0.5
489,86,LLMnote,helpful,1.0
489,102,Community,somewhat helpful,0.5
489,102,LLMnote,helpful,1.0
489,106,Community,helpful,1.0
489,106,LLMnote,somewhat helpful,0.5
489,111,Community,helpful,1.0
489,111,LLMnote,somewhat helpful,0.5
489,123,Community,not helpful,0.0
489,123,LLMnote,helpful,1.0
489,124,Community,somewhat helpful,0.5
489,124,LLMnote,helpful,1.0
441,19,Community,not helpful,0.0
441,19,LLMnote,helpful,1.0
441,21,Community,somewhat helpful,0.5
441,21,LLMnote,helpful,1.0
441,29,Community,somewhat helpful,0.5
441,29,LLMnote,helpful,1.0
441,49,Community,not helpful,0.0
441,49,LLMnote,helpful,1.0
441,57,Community,not helpful,0.0
441,57,LLMnote,helpful,1.0
441,62,Community,somewhat helpful,0.5
441,62,LLMnote,helpful,1.0
441,75,Community,somewhat helpful,0.5
441,75,LLMnote,helpful,1.0
441,79,Community,helpful,1.0
441,79,LLMnote,helpful,1.0
441,82,Community,somewhat helpful,0.5
441,82,LLMnote,helpful,1.0
441,83,Community,somewhat helpful,0.5
441,83,LLMnote,helpful,1.0
441,85,Community,somewhat helpful,0.5
441,85,LLMnote,helpful,1.0
441,86,Community,somewhat helpful,0.5
441,86,LLMnote,somewhat helpful,0.5
441,92,Community,helpful,1.0
441,92,LLMnote,somewhat helpful,0.5
441,93,Community,somewhat helpful,0.5
441,93,LLMnote,helpful,1.0
441,94,Community,not helpful,0.0
441,94,LLMnote,helpful,1.0
441,99,Community,somewhat helpful,0.5
441,99,LLMnote,helpful,1.0
441,106,Community,somewhat helpful,0.5
441,106,LLMnote,somewhat helpful,0.5
441,109,Community,helpful,1.0
441,109,LLMnote,somewhat helpful,0.5
441,112,Community,somewhat helpful,0.5
441,112,LLMnote,somewhat helpful,0.5
441,114,Community,not helpful,0.0
441,114,LLMnote,helpful,1.0
421,1,Community,somewhat helpful,0.5
421,1,LLMnote,somewhat helpful,0.5
421,3,Community,somewhat helpful,0.5
421,3,LLMnote,somewhat helpful,0.5
421,7,Community,somewhat helpful,0.5
421,7,LLMnote,somewhat helpful,0.5
421,21,Community,somewhat helpful,0.5
421,21,LLMnote,somewhat helpful,0.5
421,28,Community,somewhat helpful,0.5
421,28,LLMnote,helpful,1.0
421,32,Community,somewhat helpful,0.5
421,32,LLMnote,somewhat helpful,0.5
421,34,Community,helpful,1.0
421,34,LLMnote,not helpful,0.0
421,35,Community,somewhat helpful,0.5
421,35,LLMnote,somewhat helpful,0.5
421,50,Community,somewhat helpful,0.5
421,50,LLMnote,helpful,1.0
421,72,Community,somewhat helpful,0.5
421,72,LLMnote,somewhat helpful,0.5
421,77,Community,somewhat helpful,0.5
421,77,LLMnote,somewhat helpful,0.5
421,81,Community,somewhat helpful,0.5
421,81,LLMnote,somewhat helpful,0.5
421,82,Community,somewhat helpful,0.5
421,82,LLMnote,somewhat helpful,0.5
421,85,Community,somewhat helpful,0.5
421,85,LLMnote,somewhat helpful,0.5
421,92,Community,helpful,1.0
421,92,LLMnote,somewhat helpful,0.5
421,111,Community,somewhat helpful,0.5
421,111,LLMnote,somewhat helpful,0.5
421,112,Community,somewhat helpful,0.5
421,112,LLMnote,not helpful,0.0
421,123,Community,helpful,1.0
